,name,hp,types,weaknesses,rarity,nationalPokedexNumbers,resistances,damage,energyCost,evolution
32,Kakuna,80.0,['Grass'],['Fire'],Uncommon,14,['None'],20,2,Stage 1
33,Machoke,80.0,['Fighting'],['Psychic'],Uncommon,67,['None'],60,4,Stage 1
34,Magikarp,30.0,['Water'],['Lightning'],Uncommon,129,['None'],10,1,Basic
35,Magmar,50.0,['Fire'],['Water'],Uncommon,126,['None'],50,3,Basic
36,Nidorino,60.0,['Grass'],['Psychic'],Uncommon,33,['None'],50,4,Stage 1
37,Poliwhirl,60.0,['Water'],['Grass'],Uncommon,61,['None'],30,3,Stage 1
38,Porygon,30.0,['Colorless'],['Fighting'],Uncommon,137,['Psychic'],0,2,Basic
39,Raticate,60.0,['Colorless'],['Fighting'],Uncommon,20,['Psychic'],20,1,Stage 1
40,Seel,60.0,['Water'],['Lightning'],Uncommon,86,['None'],10,1,Basic
41,Wartortle,70.0,['Water'],['Lightning'],Uncommon,8,['None'],40,3,Stage 1
42,Abra,30.0,['Psychic'],['Psychic'],Common,63,['None'],10,1,Basic
43,Bulbasaur,40.0,['Grass'],['Fire'],Common,1,['None'],20,2,Basic
44,Caterpie,40.0,['Grass'],['Fire'],Common,10,['None'],10,1,Basic
45,Charmander,50.0,['Fire'],['Water'],Common,4,['None'],30,2,Basic
46,Diglett,30.0,['Fighting'],['Grass'],Common,50,['Lightning'],30,2,Basic
47,Doduo,50.0,['Colorless'],['Lightning'],Common,84,['Fighting'],10,1,Basic
48,Drowzee,50.0,['Psychic'],['Psychic'],Common,96,['None'],10,2,Basic
49,Gastly,30.0,['Psychic'],['None'],Common,92,['Fighting'],0,2,Basic
50,Koffing,50.0,['Grass'],['Psychic'],Common,109,['None'],10,2,Basic
51,Machop,50.0,['Fighting'],['Psychic'],Common,66,['None'],20,1,Basic
52,Magnemite,40.0,['Lightning'],['Fighting'],Common,81,['None'],40,2,Basic
53,Metapod,70.0,['Grass'],['Fire'],Common,11,['None'],20,2,Stage 1
54,Nidoran â,40.0,['Grass'],['Psychic'],Common,32,['None'],30,1,Basic
55,Onix,90.0,['Fighting'],['Grass'],Common,95,['None'],10,1,Basic
56,Pidgey,40.0,['Colorless'],['Lightning'],Common,16,['Fighting'],10,2,Basic
57,Pikachu,40.0,['Lightning'],['Fighting'],Common,25,['None'],30,2,Basic
58,Poliwag,40.0,['Water'],['Grass'],Common,60,['None'],10,1,Basic
59,Ponyta,40.0,['Fire'],['Water'],Common,77,['None'],30,2,Basic
60,Rattata,30.0,['Colorless'],['Fighting'],Common,19,['Psychic'],20,1,Basic
61,Sandshrew,40.0,['Fighting'],['Grass'],Common,27,['Lightning'],10,1,Basic
62,Squirtle,40.0,['Water'],['Lightning'],Common,7,['None'],10,1,Basic
63,Starmie,60.0,['Water'],['Lightning'],Common,121,['None'],20,3,Stage 1
64,Staryu,40.0,['Water'],['Lightning'],Common,120,['None'],20,1,Basic
65,Tangela,50.0,['Grass'],['Fire'],Common,114,['None'],20,3,Basic
66,Voltorb,40.0,['Lightning'],['Fighting'],Common,100,['None'],10,1,Basic
67,Vulpix,50.0,['Fire'],['Water'],Common,37,['None'],10,2,Basic
68,Weedle,40.0,['Grass'],['Fire'],Common,13,['None'],10,1,Basic
102,Clefable,70.0,['Colorless'],['Fighting'],Rare Holo,36,['Psychic'],0,2,Stage 1
103,Electrode,90.0,['Lightning'],['Fighting'],Rare Holo,101,['None'],20,3,Stage 1
104,Flareon,70.0,['Fire'],['Water'],Rare Holo,136,['None'],60,4,Stage 1
105,Jolteon,70.0,['Lightning'],['Fighting'],Rare Holo,135,['None'],20,3,Stage 1
106,Kangaskhan,90.0,['Colorless'],['Fighting'],Rare Holo,115,['Psychic'],20,4,Basic
107,Mr. Mime,40.0,['Psychic'],['Psychic'],Rare Holo,122,['None'],10,2,Basic
108,Nidoqueen,90.0,['Grass'],['Psychic'],Rare Holo,31,['None'],50,4,Stage 2
109,Pidgeot,80.0,['Colorless'],['Lightning'],Rare Holo,18,['Fighting'],30,3,Stage 2
110,Pinsir,60.0,['Grass'],['Fire'],Rare Holo,127,['None'],50,4,Basic
111,Scyther,70.0,['Grass'],['Fire'],Rare Holo,123,['Fighting'],30,3,Basic
112,Snorlax,90.0,['Colorless'],['Fighting'],Rare Holo,143,['Psychic'],30,4,Basic
113,Vaporeon,80.0,['Water'],['Lightning'],Rare Holo,134,['None'],30,3,Stage 1
114,Venomoth,70.0,['Grass'],['Fire'],Rare Holo,49,['Fighting'],10,2,Stage 1
115,Victreebel,80.0,['Grass'],['Fire'],Rare Holo,71,['None'],20,2,Stage 2
116,Vileplume,80.0,['Grass'],['Fire'],Rare Holo,45,['None'],40,3,Stage 2
117,Wigglytuff,80.0,['Colorless'],['Fighting'],Rare Holo,40,['Psychic'],10,3,Stage 1
118,Clefable,70.0,['Colorless'],['Fighting'],Rare,36,['Psychic'],0,2,Stage 1
119,Electrode,90.0,['Lightning'],['Fighting'],Rare,101,['None'],20,3,Stage 1
120,Flareon,70.0,['Fire'],['Water'],Rare,136,['None'],60,4,Stage 1
121,Jolteon,70.0,['Lightning'],['Fighting'],Rare,135,['None'],20,3,Stage 1
122,Kangaskhan,90.0,['Colorless'],['Fighting'],Rare,115,['Psychic'],20,4,Basic
123,Mr. Mime,40.0,['Psychic'],['Psychic'],Rare,122,['None'],10,2,Basic
124,Nidoqueen,90.0,['Grass'],['Psychic'],Rare,31,['None'],50,4,Stage 2
125,Pidgeot,80.0,['Colorless'],['Lightning'],Rare,18,['Fighting'],30,3,Stage 2
126,Pinsir,60.0,['Grass'],['Fire'],Rare,127,['None'],50,4,Basic
127,Scyther,70.0,['Grass'],['Fire'],Rare,123,['Fighting'],30,3,Basic
128,Snorlax,90.0,['Colorless'],['Fighting'],Rare,143,['Psychic'],30,4,Basic
129,Vaporeon,80.0,['Water'],['Lightning'],Rare,134,['None'],30,3,Stage 1
130,Venomoth,70.0,['Grass'],['Fire'],Rare,49,['Fighting'],10,2,Stage 1
131,Victreebel,80.0,['Grass'],['Fire'],Rare,71,['None'],20,2,Stage 2
132,Vileplume,80.0,['Grass'],['Fire'],Rare,45,['None'],40,3,Stage 2
133,Wigglytuff,80.0,['Colorless'],['Fighting'],Rare,40,['Psychic'],10,3,Stage 1
134,Butterfree,70.0,['Grass'],['Fire'],Uncommon,12,['Fighting'],40,4,Stage 2
135,Dodrio,70.0,['Colorless'],['Lightning'],Uncommon,85,['Fighting'],10,3,Stage 1
136,Exeggutor,80.0,['Grass'],['Fire'],Uncommon,103,['None'],20,1,Stage 1
137,Fearow,70.0,['Colorless'],['Lightning'],Uncommon,22,['Fighting'],40,4,Stage 1
138,Gloom,60.0,['Grass'],['Fire'],Uncommon,44,['None'],20,2,Stage 1
139,Lickitung,90.0,['Colorless'],['Fighting'],Uncommon,108,['Psychic'],10,1,Basic
140,Marowak,60.0,['Fighting'],['Grass'],Uncommon,105,['Lightning'],30,2,Stage 1
141,Nidorina,70.0,['Grass'],['Psychic'],Uncommon,30,['None'],30,3,Stage 1
142,Parasect,60.0,['Grass'],['Fire'],Uncommon,47,['None'],30,3,Stage 1
143,Persian,70.0,['Colorless'],['Fighting'],Uncommon,53,['Psychic'],30,3,Stage 1
144,Primeape,70.0,['Fighting'],['Psychic'],Uncommon,57,['None'],50,3,Stage 1
145,Rapidash,70.0,['Fire'],['Water'],Uncommon,78,['None'],30,3,Stage 1
146,Rhydon,100.0,['Fighting'],['Grass'],Uncommon,112,['Lightning'],50,4,Stage 1
147,Seaking,70.0,['Water'],['Lightning'],Uncommon,119,['None'],30,2,Stage 1
148,Tauros,60.0,['Colorless'],['Fighting'],Uncommon,128,['Psychic'],20,3,Basic
149,Weepinbell,70.0,['Grass'],['Fire'],Uncommon,70,['None'],30,2,Stage 1
150,Bellsprout,40.0,['Grass'],['Fire'],Common,69,['None'],10,1,Basic
151,Cubone,40.0,['Fighting'],['Grass'],Common,104,['Lightning'],10,2,Basic
152,Eevee,50.0,['Colorless'],['Fighting'],Common,133,['Psychic'],10,2,Basic
153,Exeggcute,50.0,['Grass'],['Fire'],Common,102,['None'],20,2,Basic
154,Goldeen,40.0,['Water'],['Lightning'],Common,118,['None'],10,1,Basic
155,Jigglypuff,60.0,['Colorless'],['Fighting'],Common,39,['Psychic'],20,2,Basic
156,Mankey,30.0,['Fighting'],['Psychic'],Common,56,['None'],10,1,Basic
157,Meowth,50.0,['Colorless'],['Fighting'],Common,52,['Psychic'],10,2,Basic
158,Nidoran â,60.0,['Grass'],['Psychic'],Common,29,['None'],10,1,Basic
159,Oddish,50.0,['Grass'],['Fire'],Common,43,['None'],10,1,Basic
160,Paras,40.0,['Grass'],['Fire'],Common,46,['None'],20,2,Basic
161,Pikachu,50.0,['Lightning'],['Fighting'],Common,25,['None'],20,2,Basic
162,Rhyhorn,70.0,['Fighting'],['Grass'],Common,111,['Lightning'],30,3,Basic
163,Spearow,50.0,['Colorless'],['Lightning'],Common,21,['Fighting'],10,1,Basic
164,Venonat,40.0,['Grass'],['Fire'],Common,48,['None'],10,2,Basic
166,Aerodactyl,60.0,['Fighting'],['Grass'],Rare Holo,142,['Fighting'],30,3,Stage 1
167,Articuno,70.0,['Water'],['None'],Rare Holo,144,['Fighting'],50,4,Basic
169,Dragonite,100.0,['Colorless'],['None'],Rare Holo,149,['Fighting'],40,4,Stage 2
170,Gengar,80.0,['Psychic'],['None'],Rare Holo,94,['Fighting'],30,3,Stage 2
171,Haunter,50.0,['Psychic'],['None'],Rare Holo,93,['Fighting'],10,2,Stage 1
172,Hitmonlee,60.0,['Fighting'],['Psychic'],Rare Holo,106,['None'],50,3,Basic
173,Hypno,90.0,['Psychic'],['Psychic'],Rare Holo,97,['None'],30,3,Stage 1
174,Kabutops,60.0,['Fighting'],['Grass'],Rare Holo,141,['None'],40,4,Stage 2
175,Lapras,80.0,['Water'],['Lightning'],Rare Holo,131,['None'],10,2,Basic
176,Magneton,80.0,['Lightning'],['Fighting'],Rare Holo,82,['None'],100,4,Stage 1
177,Moltres,70.0,['Fire'],['None'],Rare Holo,146,['Fighting'],80,4,Basic
178,Muk,70.0,['Grass'],['Psychic'],Rare Holo,89,['None'],30,3,Stage 1
179,Raichu,90.0,['Lightning'],['Fighting'],Rare Holo,26,['None'],30,4,Stage 1
180,Zapdos,80.0,['Lightning'],['None'],Rare Holo,145,['Fighting'],40,4,Basic
181,Aerodactyl,60.0,['Fighting'],['Grass'],Rare,142,['Fighting'],30,3,Stage 1
182,Articuno,70.0,['Water'],['None'],Rare,144,['Fighting'],50,4,Basic
184,Dragonite,100.0,['Colorless'],['None'],Rare,149,['Fighting'],40,4,Stage 2
185,Gengar,80.0,['Psychic'],['None'],Rare,94,['Fighting'],30,3,Stage 2
186,Haunter,50.0,['Psychic'],['None'],Rare,93,['Fighting'],10,2,Stage 1
187,Hitmonlee,60.0,['Fighting'],['Psychic'],Rare,106,['None'],50,3,Basic
188,Hypno,90.0,['Psychic'],['Psychic'],Rare,97,['None'],30,3,Stage 1
189,Kabutops,60.0,['Fighting'],['Grass'],Rare,141,['None'],40,4,Stage 2
190,Lapras,80.0,['Water'],['Lightning'],Rare,131,['None'],10,2,Basic
191,Magneton,80.0,['Lightning'],['Fighting'],Rare,82,['None'],100,4,Stage 1
192,Moltres,70.0,['Fire'],['None'],Rare,146,['Fighting'],80,4,Basic
193,Muk,70.0,['Grass'],['Psychic'],Rare,89,['None'],30,3,Stage 1
194,Raichu,90.0,['Lightning'],['Fighting'],Rare,26,['None'],30,4,Stage 1
195,Zapdos,80.0,['Lightning'],['None'],Rare,145,['Fighting'],40,4,Basic
196,Arbok,60.0,['Grass'],['Psychic'],Uncommon,24,['None'],20,3,Stage 1
197,Cloyster,50.0,['Water'],['Lightning'],Uncommon,91,['None'],30,2,Stage 1
198,Gastly,50.0,['Psychic'],['None'],Uncommon,92,['Fighting'],10,1,Basic
199,Golbat,60.0,['Grass'],['Psychic'],Uncommon,42,['Fighting'],30,3,Stage 1
200,Golduck,70.0,['Water'],['Lightning'],Uncommon,55,['None'],20,3,Stage 1
201,Golem,80.0,['Fighting'],['Grass'],Uncommon,76,['None'],100,4,Stage 2
202,Graveler,60.0,['Fighting'],['Grass'],Uncommon,75,['None'],40,3,Stage 1
203,Kingler,60.0,['Water'],['Lightning'],Uncommon,99,['None'],40,3,Stage 1
204,Magmar,70.0,['Fire'],['Water'],Uncommon,126,['None'],20,2,Basic
205,Omastar,70.0,['Water'],['Grass'],Uncommon,139,['None'],30,2,Stage 2
206,Sandslash,70.0,['Fighting'],['Grass'],Uncommon,28,['Lightning'],20,2,Stage 1
207,Seadra,60.0,['Water'],['Lightning'],Uncommon,117,['None'],20,3,Stage 1
208,Slowbro,60.0,['Psychic'],['Psychic'],Uncommon,80,['None'],20,2,Stage 1
209,Tentacruel,60.0,['Water'],['Lightning'],Uncommon,73,['None'],10,2,Stage 1
210,Weezing,60.0,['Grass'],['Psychic'],Uncommon,110,['None'],60,3,Stage 1
211,Ekans,40.0,['Grass'],['Psychic'],Common,23,['None'],20,2,Basic
212,Geodude,50.0,['Fighting'],['Grass'],Common,74,['None'],10,2,Basic
213,Grimer,50.0,['Grass'],['Psychic'],Common,88,['None'],10,1,Basic
214,Horsea,40.0,['Water'],['Lightning'],Common,116,['None'],10,1,Basic
215,Kabuto,30.0,['Fighting'],['Grass'],Common,140,['None'],10,1,Stage 1
216,Krabby,50.0,['Water'],['Lightning'],Common,98,['None'],20,2,Basic
217,Omanyte,40.0,['Water'],['Grass'],Common,138,['None'],10,1,Stage 1
218,Psyduck,50.0,['Water'],['Lightning'],Common,54,['None'],10,1,Basic
219,Shellder,30.0,['Water'],['Lightning'],Common,90,['None'],0,1,Basic
220,Slowpoke,50.0,['Psychic'],['Psychic'],Common,79,['None'],0,2,Basic
221,Tentacool,30.0,['Water'],['Lightning'],Common,72,['None'],10,1,Basic
222,Zubat,40.0,['Grass'],['Psychic'],Common,41,['Fighting'],10,2,Basic
228,Alakazam,80.0,['Psychic'],['Psychic'],Rare Holo,65,['None'],30,3,Stage 2
229,Blastoise,100.0,['Water'],['Lightning'],Rare Holo,9,['None'],40,3,Stage 2
230,Chansey,120.0,['Colorless'],['Fighting'],Rare Holo,113,['Psychic'],80,4,Basic
231,Charizard,120.0,['Fire'],['Water'],Rare Holo,6,['Fighting'],100,4,Stage 2
232,Clefable,70.0,['Colorless'],['Fighting'],Rare Holo,36,['Psychic'],0,2,Stage 1
233,Clefairy,40.0,['Colorless'],['Fighting'],Rare Holo,35,['Psychic'],0,3,Basic
234,Gyarados,100.0,['Water'],['Grass'],Rare Holo,130,['Fighting'],50,3,Stage 1
235,Hitmonchan,70.0,['Fighting'],['Psychic'],Rare Holo,107,['None'],40,3,Basic
236,Magneton,60.0,['Lightning'],['Fighting'],Rare Holo,82,['None'],80,4,Stage 1
237,Mewtwo,60.0,['Psychic'],['Psychic'],Rare Holo,150,['None'],10,2,Basic
238,Nidoking,90.0,['Grass'],['Psychic'],Rare Holo,34,['None'],30,3,Stage 2
239,Nidoqueen,90.0,['Grass'],['Psychic'],Rare Holo,31,['None'],50,4,Stage 2
240,Ninetales,80.0,['Fire'],['Water'],Rare Holo,38,['None'],80,4,Stage 1
241,Pidgeot,80.0,['Colorless'],['Lightning'],Rare Holo,18,['Fighting'],30,3,Stage 2
242,Poliwrath,90.0,['Water'],['Grass'],Rare Holo,62,['None'],40,4,Stage 2
243,Raichu,80.0,['Lightning'],['Fighting'],Rare Holo,26,['None'],60,4,Stage 1
244,Scyther,70.0,['Grass'],['Fire'],Rare Holo,123,['Fighting'],30,3,Basic
245,Venusaur,100.0,['Grass'],['Fire'],Rare Holo,3,['None'],60,4,Stage 2
246,Wigglytuff,80.0,['Colorless'],['Fighting'],Rare Holo,40,['Psychic'],10,3,Stage 1
247,Zapdos,90.0,['Lightning'],['None'],Rare Holo,145,['Fighting'],100,4,Basic
248,Beedrill,80.0,['Grass'],['Fire'],Rare,15,['Fighting'],40,3,Stage 2
249,Dragonair,80.0,['Colorless'],['None'],Rare,148,['Psychic'],30,3,Stage 1
250,Dugtrio,70.0,['Fighting'],['Grass'],Rare,51,['Lightning'],70,4,Stage 1
251,Electabuzz,70.0,['Lightning'],['Fighting'],Rare,125,['None'],30,2,Basic
252,Electrode,80.0,['Lightning'],['Fighting'],Rare,101,['None'],50,3,Stage 1
253,Kangaskhan,90.0,['Colorless'],['Fighting'],Rare,115,['Psychic'],20,4,Basic
254,Mr. Mime,40.0,['Psychic'],['Psychic'],Rare,122,['None'],10,2,Basic
255,Pidgeotto,60.0,['Colorless'],['Lightning'],Rare,17,['Fighting'],20,2,Stage 1
256,Pinsir,60.0,['Grass'],['Fire'],Rare,127,['None'],50,4,Basic
257,Snorlax,90.0,['Colorless'],['Fighting'],Rare,143,['Psychic'],30,4,Basic
258,Venomoth,70.0,['Grass'],['Fire'],Rare,49,['Fighting'],10,2,Stage 1
259,Victreebel,80.0,['Grass'],['Fire'],Rare,71,['None'],20,2,Stage 2
260,Arcanine,100.0,['Fire'],['Water'],Uncommon,59,['None'],80,4,Stage 1
261,Butterfree,70.0,['Grass'],['Fire'],Uncommon,12,['Fighting'],40,4,Stage 2
262,Charmeleon,80.0,['Fire'],['Water'],Uncommon,5,['None'],50,3,Stage 1
263,Dewgong,80.0,['Water'],['Lightning'],Uncommon,87,['None'],50,3,Stage 1
264,Dodrio,70.0,['Colorless'],['Lightning'],Uncommon,85,['Fighting'],10,3,Stage 1
265,Dratini,40.0,['Colorless'],['None'],Uncommon,147,['Psychic'],10,1,Basic
266,Exeggutor,80.0,['Grass'],['Fire'],Uncommon,103,['None'],20,1,Stage 1
267,Farfetch'd,50.0,['Colorless'],['Lightning'],Uncommon,83,['Fighting'],30,3,Basic
268,Fearow,70.0,['Colorless'],['Lightning'],Uncommon,22,['Fighting'],40,4,Stage 1
269,Growlithe,60.0,['Fire'],['Water'],Uncommon,58,['None'],20,2,Basic
270,Haunter,60.0,['Psychic'],['None'],Uncommon,93,['Fighting'],50,2,Stage 1
271,Ivysaur,60.0,['Grass'],['Fire'],Uncommon,2,['None'],30,3,Stage 1
272,Jynx,70.0,['Psychic'],['Psychic'],Uncommon,124,['None'],20,3,Basic
273,Kadabra,60.0,['Psychic'],['Psychic'],Uncommon,64,['None'],50,3,Stage 1
274,Kakuna,80.0,['Grass'],['Fire'],Uncommon,14,['None'],20,2,Stage 1
275,Lickitung,90.0,['Colorless'],['Fighting'],Uncommon,108,['Psychic'],10,1,Basic
276,Machoke,80.0,['Fighting'],['Psychic'],Uncommon,67,['None'],60,4,Stage 1
277,Magikarp,30.0,['Water'],['Lightning'],Uncommon,129,['None'],10,1,Basic
278,Magmar,50.0,['Fire'],['Water'],Uncommon,126,['None'],50,3,Basic
279,Marowak,60.0,['Fighting'],['Grass'],Uncommon,105,['Lightning'],30,2,Stage 1
280,Nidorina,70.0,['Grass'],['Psychic'],Uncommon,30,['None'],30,3,Stage 1
281,Nidorino,60.0,['Grass'],['Psychic'],Uncommon,33,['None'],50,4,Stage 1
282,Parasect,60.0,['Grass'],['Fire'],Uncommon,47,['None'],30,3,Stage 1
283,Persian,70.0,['Colorless'],['Fighting'],Uncommon,53,['Psychic'],30,3,Stage 1
284,Poliwhirl,60.0,['Water'],['Grass'],Uncommon,61,['None'],30,3,Stage 1
285,Raticate,60.0,['Colorless'],['Fighting'],Uncommon,20,['Psychic'],20,1,Stage 1
286,Rhydon,100.0,['Fighting'],['Grass'],Uncommon,112,['Lightning'],50,4,Stage 1
287,Seaking,70.0,['Water'],['Lightning'],Uncommon,119,['None'],30,2,Stage 1
288,Seel,60.0,['Water'],['Lightning'],Uncommon,86,['None'],10,1,Basic
289,Tauros,60.0,['Colorless'],['Fighting'],Uncommon,128,['Psychic'],20,3,Basic
290,Wartortle,70.0,['Water'],['Lightning'],Uncommon,8,['None'],40,3,Stage 1
291,Weepinbell,70.0,['Grass'],['Fire'],Uncommon,70,['None'],30,2,Stage 1
292,Abra,30.0,['Psychic'],['Psychic'],Common,63,['None'],10,1,Basic
293,Bellsprout,40.0,['Grass'],['Fire'],Common,69,['None'],10,1,Basic
294,Bulbasaur,40.0,['Grass'],['Fire'],Common,1,['None'],20,2,Basic
295,Caterpie,40.0,['Grass'],['Fire'],Common,10,['None'],10,1,Basic
296,Charmander,50.0,['Fire'],['Water'],Common,4,['None'],30,2,Basic
297,Cubone,40.0,['Fighting'],['Grass'],Common,104,['Lightning'],10,2,Basic
298,Diglett,30.0,['Fighting'],['Grass'],Common,50,['Lightning'],30,2,Basic
299,Doduo,50.0,['Colorless'],['Lightning'],Common,84,['Fighting'],10,1,Basic
300,Drowzee,50.0,['Psychic'],['Psychic'],Common,96,['None'],10,2,Basic
301,Exeggcute,50.0,['Grass'],['Fire'],Common,102,['None'],20,2,Basic
302,Gastly,30.0,['Psychic'],['None'],Common,92,['Fighting'],0,2,Basic
303,Goldeen,40.0,['Water'],['Lightning'],Common,118,['None'],10,1,Basic
304,Jigglypuff,60.0,['Colorless'],['Fighting'],Common,39,['Psychic'],20,2,Basic
305,Machop,50.0,['Fighting'],['Psychic'],Common,66,['None'],20,1,Basic
306,Magnemite,40.0,['Lightning'],['Fighting'],Common,81,['None'],40,2,Basic
307,Meowth,50.0,['Colorless'],['Fighting'],Common,52,['Psychic'],10,2,Basic
308,Metapod,70.0,['Grass'],['Fire'],Common,11,['None'],20,2,Stage 1
309,Nidoran â,60.0,['Grass'],['Psychic'],Common,29,['None'],10,1,Basic
310,Nidoran â,40.0,['Grass'],['Psychic'],Common,32,['None'],30,1,Basic
311,Onix,90.0,['Fighting'],['Grass'],Common,95,['None'],10,1,Basic
312,Paras,40.0,['Grass'],['Fire'],Common,46,['None'],20,2,Basic
313,Pidgey,40.0,['Colorless'],['Lightning'],Common,16,['Fighting'],10,2,Basic
314,Pikachu,40.0,['Lightning'],['Fighting'],Common,25,['None'],30,2,Basic
315,Poliwag,40.0,['Water'],['Grass'],Common,60,['None'],10,1,Basic
316,Rattata,30.0,['Colorless'],['Fighting'],Common,19,['Psychic'],20,1,Basic
317,Rhyhorn,70.0,['Fighting'],['Grass'],Common,111,['Lightning'],30,3,Basic
318,Sandshrew,40.0,['Fighting'],['Grass'],Common,27,['Lightning'],10,1,Basic
319,Spearow,50.0,['Colorless'],['Lightning'],Common,21,['Fighting'],10,1,Basic
320,Squirtle,40.0,['Water'],['Lightning'],Common,7,['None'],10,1,Basic
321,Starmie,60.0,['Water'],['Lightning'],Common,121,['None'],20,3,Stage 1
322,Staryu,40.0,['Water'],['Lightning'],Common,120,['None'],20,1,Basic
323,Tangela,50.0,['Grass'],['Fire'],Common,114,['None'],20,3,Basic
324,Venonat,40.0,['Grass'],['Fire'],Common,48,['None'],10,2,Basic
325,Voltorb,40.0,['Lightning'],['Fighting'],Common,100,['None'],10,1,Basic
326,Vulpix,50.0,['Fire'],['Water'],Common,37,['None'],10,2,Basic
327,Weedle,40.0,['Grass'],['Fire'],Common,13,['None'],10,1,Basic
358,Dark Alakazam,60.0,['Psychic'],['Psychic'],Rare Holo,65,['None'],40,3,Stage 2
359,Dark Arbok,60.0,['Grass'],['Psychic'],Rare Holo,24,['None'],10,3,Stage 1
360,Dark Blastoise,70.0,['Water'],['Lightning'],Rare Holo,9,['None'],40,3,Stage 2
361,Dark Charizard,80.0,['Fire'],['Water'],Rare Holo,6,['Fighting'],50,2,Stage 2
362,Dark Dragonite,70.0,['Colorless'],['None'],Rare Holo,149,['Fighting'],70,4,Stage 2
363,Dark Dugtrio,50.0,['Fighting'],['Grass'],Rare Holo,51,['Lightning'],20,2,Stage 1
364,Dark Golbat,50.0,['Grass'],['Psychic'],Rare Holo,42,['Fighting'],0,2,Stage 1
365,Dark Gyarados,70.0,['Water'],['Grass'],Rare Holo,130,['Fighting'],30,3,Stage 1
366,Dark Hypno,60.0,['Psychic'],['Psychic'],Rare Holo,97,['None'],20,3,Stage 1
367,Dark Machamp,70.0,['Fighting'],['Psychic'],Rare Holo,68,['None'],30,2,Stage 2
368,Dark Magneton,60.0,['Lightning'],['Fighting'],Rare Holo,82,['None'],30,2,Stage 1
369,Dark Slowbro,60.0,['Psychic'],['Psychic'],Rare Holo,80,['None'],40,2,Stage 1
370,Dark Vileplume,60.0,['Grass'],['Fire'],Rare Holo,45,['None'],30,3,Stage 2
371,Dark Weezing,60.0,['Grass'],['Psychic'],Rare Holo,110,['None'],20,3,Stage 1
375,Dark Alakazam,60.0,['Psychic'],['Psychic'],Rare,65,['None'],40,3,Stage 2
376,Dark Arbok,60.0,['Grass'],['Psychic'],Rare,24,['None'],10,3,Stage 1
